player-total-points_player_name,super-10s_player_name,player-dod-raid-points_player_name,player-successful-raids_player_name,player-raid-points_player_name,player-super-raids_player_name,player-successful-tackles_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-super-tackles_player_name,high-5s_player_name,player-total-points_match_played,super-10s_match_played,player-dod-raid-points_match_played,player-successful-raids_match_played,player-raid-points_match_played,player-super-raids_match_played,player-successful-tackles_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-super-tackles_match_played,high-5s_match_played,player-total-points_position_name,super-10s_position_name,player-dod-raid-points_position_name,player-successful-raids_position_name,player-raid-points_position_name,player-super-raids_position_name,player-successful-tackles_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-super-tackles_position_name,high-5s_position_name,player-total-points_team,super-10s_team,player-dod-raid-points_team,player-successful-raids_team,player-raid-points_team,player-super-raids_team,player-successful-tackles_team,player-tackle-points_team,player-avg-tackle-points_team,player-super-tackles_team,high-5s_team,player-total-points_team_name,super-10s_team_name,player-dod-raid-points_team_name,player-successful-raids_team_name,player-raid-points_team_name,player-super-raids_team_name,player-successful-tackles_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-super-tackles_team_name,high-5s_team_name,player-total-points_team_full_name,super-10s_team_full_name,player-dod-raid-points_team_full_name,player-successful-raids_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,player-successful-tackles_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-super-tackles_team_full_name,high-5s_team_full_name,player-total-points_rank,super-10s_rank,player-dod-raid-points_rank,player-successful-raids_rank,player-raid-points_rank,player-super-raids_rank,player-successful-tackles_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-super-tackles_rank,high-5s_rank,player-total-points_value,super-10s_value,player-dod-raid-points_value,player-successful-raids_value,player-raid-points_value,player-super-raids_value,player-successful-tackles_value,player-tackle-points_value,player-avg-tackle-points_value,player-super-tackles_value,high-5s_value,player-total-points_points_per_match,super-10s_points_per_match,player-dod-raid-points_points_per_match,player-successful-raids_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,player-successful-tackles_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-super-tackles_points_per_match,high-5s_points_per_match,player-total-points_team_id,super-10s_team_id,player-dod-raid-points_team_id,player-successful-raids_team_id,player-raid-points_team_id,player-super-raids_team_id,player-successful-tackles_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-super-tackles_team_id,high-5s_team_id,player-total-points_position_id,super-10s_position_id,player-dod-raid-points_position_id,player-successful-raids_position_id,player-raid-points_position_id,player-super-raids_position_id,player-successful-tackles_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-super-tackles_position_id,high-5s_position_id
Jeeva Kumar,,,,,,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,,,9,,,,,,9,9,9,,,Defender,,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,MUM,,,,,,MUM,MUM,MUM,,,U Mumba,,,,,,U Mumba,U Mumba,U Mumba,,,58,,,,,,28,30,18,,,16,,,,,,16,16,1.78,,,1.7777777777777777,,,,,,1.7777777777777777,1.7777777777777777,0.1977777777777777,,,5,,,,,,5,5,5,,,9,,,,,,9,9,9,,
Jitesh Joshi,,Jitesh Joshi,Jitesh Joshi,Jitesh Joshi,,Jitesh Joshi,Jitesh Joshi,Jitesh Joshi,Jitesh Joshi,Jitesh Joshi,14,,14,14,14,,14,14,14,14,14,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PUN,,PUN,PUN,PUN,,PUN,PUN,PUN,PUN,PUN,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,22,,12,24,23,,35,33,43,15,9,53,,10,31,40,,11,13,0.93,2,2,3.7857142857142856,,0.7142857142857143,2.2142857142857144,2.857142857142857,,0.7857142857142857,0.9285714285714286,0.066428571,0.1428571428571428,0.1428571428571428,7,,7,7,7,,7,7,7,7,7,0,,0,0,0,,0,0,0,0,0
Kalimuthu Balamahendran,,,Kalimuthu Balamahendran,Kalimuthu Balamahendran,Kalimuthu Balamahendran,Kalimuthu Balamahendran,Kalimuthu Balamahendran,Kalimuthu Balamahendran,Kalimuthu Balamahendran,,14,,,14,14,14,14,14,14,14,,Defender,,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PUN,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,36,,,37,36,25,29,22,27,1,,32,,,8,12,1,14,20,1.43,6,,2.2857142857142856,,,0.5714285714285714,0.8571428571428571,0.071428571,1,1.4285714285714286,0.1021428571428571,0.4285714285714285,,7,,,7,7,7,7,7,7,7,,9,,,9,9,9,9,9,9,9,
Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,,14,14,14,14,14,14,14,14,14,14,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,5,6,4,6,5,8,42,42,54,47,,122,5,18,92,113,3,8,9,0.64,1,,8.714285714285714,0.3571428571428571,1.2857142857142858,6.571428571428571,8.071428571428571,0.2142857142857142,0.5714285714285714,0.6428571428571429,0.045714286,0.071428571,,2,2,2,2,2,2,2,2,2,2,,8,8,8,8,8,8,8,8,8,8,
Kuldeep Singh,,,,,,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,,3,,,,,,3,3,3,3,,Defender,,,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PAT,,,,,,PAT,PAT,PAT,PAT,,Patna Pirates,,,,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,74,,,,,,56,53,21,48,,5,,,,,,4,5,1.67,1,,1.6666666666666667,,,,,,1.3333333333333333,1.6666666666666667,0.5566666666666666,0.3333333333333333,,6,,,,,,6,6,6,6,,9,,,,,,9,9,9,9,
Mahesh Goud,,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,,,13,,13,13,13,13,13,13,13,,,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,20,,23,19,20,26,43,43,56,,,59,,6,40,51,1,8,8,0.62,,,4.538461538461538,,0.4615384615384615,3.076923076923077,3.923076923076923,0.076923077,0.6153846153846154,0.6153846153846154,0.047692308,,,4,,4,4,4,4,4,4,4,,,8,,8,8,8,8,8,8,8,,
Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,Mahipal Narwal,,,5,5,5,5,5,5,5,5,5,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,37,20,26,28,27,14,46,46,29,,,31,1,5,16,24,2,7,7,1.4,,,6.2,0.2,1,3.2,4.8,0.4,1.4,1.4,0.2799999999999999,,,7,7,7,7,7,7,7,7,7,,,0,0,0,0,0,0,0,0,0,,
Mandeep Kumar,,,Mandeep Kumar,Mandeep Kumar,Mandeep Kumar,,,,,,7,,,7,7,7,,,,,,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,,,,,,PAT,,,PAT,PAT,PAT,,,,,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,,,,,,78,,,57,47,29,,,,,,5,,,2,5,1,,,,,,0.7142857142857143,,,0.2857142857142857,0.7142857142857143,0.1428571428571428,,,,,,6,,,6,6,6,,,,,,8,,,8,8,8,,,,,
Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,Manjeet Chhillar,16,16,16,16,16,16,16,16,16,,16,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,6,15,21,16,16,15,1,1,3,,5,122,2,7,53,71,2,51,51,3.19,,3,7.625,0.125,0.4375,3.3125,4.4375,0.125,3.1875,3.1875,0.199375,,0.1875,1,1,1,1,1,1,1,1,1,,1,0,0,0,0,0,0,0,0,0,,0
Manoj Kumar,,,Manoj Kumar,Manoj Kumar,Manoj Kumar,Manoj Kumar,Manoj Kumar,Manoj Kumar,Manoj Kumar,,14,,,14,14,14,14,14,14,14,,Defender,,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PUN,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,29,,,30,28,16,26,23,28,14,,42,,,14,22,2,17,20,1.43,3,,3,,,1,1.5714285714285714,0.1428571428571428,1.2142857142857142,1.4285714285714286,0.1021428571428571,0.2142857142857142,,7,,,7,7,7,7,7,7,7,,9,,,9,9,9,9,9,9,9,
Mohit Chhillar,,,Mohit Chhillar,Mohit Chhillar,,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,16,,,16,16,,16,16,16,16,16,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,MUM,,,MUM,MUM,,MUM,MUM,MUM,MUM,MUM,U Mumba,,,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,31,,,65,66,,6,6,10,3,6,36,,,1,1,,30,35,2.19,5,2,2.25,,,0.0625,0.0625,,1.875,2.1875,0.136875,0.3125,0.125,5,,,5,5,,5,5,5,5,5,9,,,9,9,,9,9,9,9,9
Navneet Gautam,,,,,,Navneet Gautam,Navneet Gautam,Navneet Gautam,Navneet Gautam,Navneet Gautam,14,,,,,,14,14,14,14,14,Defender,,,,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,JAI,,,,,,JAI,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,56,,,,,,27,28,37,49,23,17,,,,,,16,17,1.21,1,1,1.2142857142857142,,,,,,1.1428571428571428,1.2142857142857142,0.086428571,0.071428571,0.071428571,3,,,,,,3,3,3,3,3,9,,,,,,9,9,9,9,9
Nilesh Shinde,,,Nilesh Shinde,Nilesh Shinde,,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,14,,,14,14,,14,14,14,14,14,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,KOL,,,KOL,KOL,,KOL,KOL,KOL,KOL,KOL,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,34,,,43,43,,10,10,13,11,7,35,,,5,7,,25,28,2,3,2,2.5,,,0.3571428571428571,0.5,,1.7857142857142858,2,0.1428571428571428,0.2142857142857142,0.1428571428571428,4,,,4,4,,4,4,4,4,4,9,,,9,9,,9,9,9,9,9
Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,Nitin Madane,,12,12,12,12,12,12,12,12,12,12,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,12,7,19,10,10,10,57,52,62,18,,107,5,8,78,101,3,4,6,0.5,2,,8.916666666666666,0.4166666666666667,0.6666666666666666,6.5,8.416666666666666,0.25,0.3333333333333333,0.5,0.041666667,0.1666666666666666,,4,4,4,4,4,4,4,4,4,4,,8,8,8,8,8,8,8,8,8,8,
Nitin More,,,,,,Nitin More,Nitin More,Nitin More,,Nitin More,9,,,,,,9,9,9,,9,Defender,,,,,,Defender,Defender,Defender,,Defender,,,,,,,,,,,,PUN,,,,,,PUN,PUN,PUN,,PUN,Puneri Paltan,,,,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,61,,,,,,33,35,32,,22,12,,,,,,12,12,1.33,,1,1.3333333333333333,,,,,,1.3333333333333333,1.3333333333333333,0.1477777777777777,,0.1111111111111111,7,,,,,,7,7,7,,7,9,,,,,,9,9,9,,9
Parveen Kumar,,,,,,Parveen Kumar,Parveen Kumar,Parveen Kumar,Parveen Kumar,,8,,,,,,8,8,8,8,,Defender,,,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,KOL,,,,,,KOL,KOL,KOL,KOL,,Bengal Warriors,,,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,88,,,,,,67,65,68,33,,3,,,,,,2,3,0.38,1,,0.375,,,,,,0.25,0.375,0.0475,0.125,,4,,,,,,4,4,4,4,,9,,,,,,9,9,9,9,
Pravin Niwale,Pravin Niwale,Pravin Niwale,Pravin Niwale,Pravin Niwale,Pravin Niwale,Pravin Niwale,Pravin Niwale,Pravin Niwale,,,7,7,7,7,7,7,7,7,7,,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,50,19,27,31,30,11,84,84,82,,,21,1,5,12,20,3,1,1,0.14,,,3,0.1428571428571428,0.7142857142857143,1.7142857142857142,2.857142857142857,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.02,,,7,7,7,7,7,7,7,7,7,,,8,8,8,8,8,8,8,8,8,,
Punit Kumar Teotia,,,Punit Kumar Teotia,Punit Kumar Teotia,,Punit Kumar Teotia,Punit Kumar Teotia,Punit Kumar Teotia,,,4,,,4,4,,4,4,4,,,Raider,,,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,,DEL,,,DEL,DEL,,DEL,DEL,DEL,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,77,,,58,55,,66,66,63,,,5,,,2,3,,2,2,0.5,,,1.25,,,0.5,0.75,,0.5,0.5,0.125,,,2,,,2,2,,2,2,2,,,8,,,8,8,,8,8,8,,
Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,,14,14,14,14,14,14,14,14,14,14,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,2,2,14,2,2,12,40,40,50,34,,161,8,9,122,151,2,9,10,0.71,1,,11.5,0.5714285714285714,0.6428571428571429,8.714285714285714,10.785714285714286,0.1428571428571428,0.6428571428571429,0.7142857142857143,0.050714286,0.071428571,,8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,8,
Rajaguru Subramanian,,,,,,Rajaguru Subramanian,Rajaguru Subramanian,Rajaguru Subramanian,Rajaguru Subramanian,,14,,,,,,14,14,14,14,,Defender,,,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HYD,,,,,,HYD,HYD,HYD,HYD,,Telugu Titans,,,,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,54,,,,,,24,26,31,35,,19,,,,,,18,19,1.36,1,,1.3571428571428572,,,,,,1.2857142857142858,1.3571428571428572,0.097142857,0.071428571,,8,,,,,,8,8,8,8,,9,,,,,,9,9,9,9,
Rajesh Mondal,,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,,15,,15,15,15,15,15,15,15,15,,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,27,,10,23,24,13,53,57,69,36,,44,,10,32,39,2,4,5,0.33,1,,2.933333333333333,,0.6666666666666666,2.1333333333333333,2.6,0.1333333333333333,0.2666666666666666,0.3333333333333333,0.022,0.066666667,,1,,1,1,1,1,1,1,1,1,,8,,8,8,8,8,8,8,8,8,
Rajesh Narwal,,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,16,,16,16,16,16,16,16,16,16,16,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,14,,6,15,15,5,11,14,22,37,10,98,,14,59,72,3,25,26,1.63,1,2,6.125,,0.875,3.6875,4.5,0.1875,1.5625,1.625,0.101875,0.0625,0.125,3,,3,3,3,3,3,3,3,3,3,0,,0,0,0,0,0,0,0,0,0
Raju Lal Choudhary,,,,,,Raju Lal Choudhary,Raju Lal Choudhary,Raju Lal Choudhary,,,5,,,,,,5,5,5,,,Defender,,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,JAI,,,,,,JAI,JAI,JAI,,,Jaipur Pink Panthers,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,89,,,,,,65,67,67,,,2,,,,,,2,2,0.4,,,0.4,,,,,,0.4,0.4,0.08,,,3,,,,,,3,3,3,,,9,,,,,,9,9,9,,
Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,,12,12,12,12,12,,12,12,12,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,,PAT,PAT,PAT,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,,13,14,22,11,12,,36,36,44,,,99,2,6,76,88,,11,11,0.92,,,8.25,0.1666666666666666,0.5,6.333333333333333,7.333333333333333,,0.9166666666666666,0.9166666666666666,0.076666667,,,6,6,6,6,6,,6,6,6,,,0,0,0,0,0,,0,0,0,,
Ram Kumar Sah,,,Ram Kumar Sah,Ram Kumar Sah,,Ram Kumar Sah,Ram Kumar Sah,Ram Kumar Sah,Ram Kumar Sah,Ram Kumar Sah,9,,,9,9,,9,9,9,9,9,Defender,,,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,PAT,,,PAT,PAT,,PAT,PAT,PAT,PAT,PAT,Patna Pirates,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,55,,,52,56,,30,31,20,38,11,18,,,3,3,,14,15,1.67,1,2,2,,,0.3333333333333333,0.3333333333333333,,1.5555555555555556,1.6666666666666667,0.1855555555555555,0.1111111111111111,0.2222222222222222,6,,,6,6,,6,6,6,6,6,9,,,9,9,,9,9,9,9,9
Ravi Dalal,Ravi Dalal,Ravi Dalal,Ravi Dalal,Ravi Dalal,Ravi Dalal,,,,,,16,16,16,16,16,16,,,,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,,,,PAT,PAT,PAT,PAT,PAT,PAT,,,,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,,,,11,9,2,7,7,4,,,,,,111,3,20,87,111,4,,,,,,6.9375,0.1875,1.25,5.4375,6.9375,0.25,,,,,,6,6,6,6,6,6,,,,,,8,8,8,8,8,8,,,,,
Rishank Devadiga,,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,,,16,,16,16,16,16,16,16,16,,,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,17,,13,18,18,22,31,34,47,,,77,,10,45,64,2,13,13,0.81,,,4.8125,,0.625,2.8125,4,0.125,0.8125,0.8125,0.050625,,,5,,5,5,5,5,5,5,5,,,8,,8,8,8,8,8,8,8,,
Rohit Rana,,,,,,Rohit Rana,Rohit Rana,Rohit Rana,Rohit Rana,Rohit Rana,15,,,,,,15,15,15,15,15,Defender,,,,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,JAI,,,,,,JAI,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,30,,,,,,3,5,5,39,4,38,,,,,,37,38,2.53,1,3,2.533333333333333,,,,,,2.466666666666667,2.533333333333333,0.1686666666666666,0.066666667,0.2,3,,,,,,3,3,3,3,3,9,,,,,,9,9,9,9,9
Rupesh Tomar,,,Rupesh Tomar,Rupesh Tomar,,Rupesh Tomar,Rupesh Tomar,Rupesh Tomar,Rupesh Tomar,,5,,,5,5,,5,5,5,5,,All Rounder,,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,HYD,,,HYD,HYD,,HYD,HYD,HYD,HYD,,Telugu Titans,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,79,,,68,67,,64,58,48,40,,5,,,1,1,,3,4,0.8,1,,1,,,0.2,0.2,,0.6,0.8,0.16,0.2,,8,,,8,8,,8,8,8,8,,0,,,0,0,,0,0,0,0,
Sachin Khambe,,Sachin Khambe,Sachin Khambe,Sachin Khambe,,Sachin Khambe,Sachin Khambe,Sachin Khambe,Sachin Khambe,,14,,14,14,14,,14,14,14,14,,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,43,,46,47,50,,20,20,23,20,,27,,1,5,5,,20,22,1.57,2,,1.9285714285714288,,0.071428571,0.3571428571428571,0.3571428571428571,,1.4285714285714286,1.5714285714285714,0.1121428571428571,0.1428571428571428,,4,,4,4,4,,4,4,4,4,,9,,9,9,9,,9,9,9,9,
Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,Shabeer Bappu,,,10,10,10,10,10,10,10,10,10,,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,18,10,7,17,17,23,85,85,85,,,67,3,11,51,66,2,1,1,0.1,,,6.7,0.3,1.1,5.1,6.6,0.2,0.1,0.1,0.01,,,5,5,5,5,5,5,5,5,5,,,8,8,8,8,8,8,8,8,8,,
Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,Shrikant Tewthia,,14,14,14,14,14,,14,14,14,14,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,25,16,29,21,22,,41,41,53,30,,50,1,3,37,41,,8,9,0.64,1,,3.5714285714285716,0.071428571,0.2142857142857142,2.642857142857143,2.9285714285714284,,0.5714285714285714,0.6428571428571429,0.045714286,0.071428571,,2,2,2,2,2,,2,2,2,2,,0,0,0,0,0,,0,0,0,0,
