Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,
Counter Action Skill,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha
Release,81,87,74,67,61,64,68,78,71,67,74,90
Struggle,36,54,62,57,54,30,37,59,46,67,28,45
Out Turn,18,17,16,13,16,13,12,12,25,11,10,13
Jump,11,12,10,12,8,23,11,17,14,13,11,11
Create Gap,11,8,14,12,11,14,4,5,10,12,6,9
In Turn,3,4,7,12,15,10,15,14,11,10,4,5
Dubki,3,6,9,5,4,10,1,7,5,9,3,4
Defender self out(lobby),,,1,,,,,,,,,
Defender self out(lobby s..),,,,,,,,,0,,,
Running Kick,,,,,,,,,1,,,
Hand touch,,,,,,,,,1,,,
Defender selfout(lobby sh..),,,,,,,,,1,,,