Counter Action Skill,Successful Raids,,
Release,70,,
Out Turn,32,,
Struggle,14,,
Jump,9,,
In Turn,3,,
Create Gap,1,,
Dubki,0,,
,,,
Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Rahul Chaudhari,325,112,34%
V. Ajith Kumar,217,102,47%
Ajay Thakur,171,50,29%
Shabeer Bappu,93,17,18%
Vineet Kumar,21,4,19%
Manjeet Chhillar,19,0,0%
Victor Obiero,17,8,47%
Ran Singh,17,7,41%
Anand,13,3,23%
Yashwant Bishnoi,9,2,22%
Himanshu,7,2,29%
Hemant Chauhan,6,1,17%
Mohit Chhillar,2,0,0%
Sagar,1,0,0%
Milad Sheibak,1,0,0%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,74,,
Hand Touch,35,,
Defender self out,7,,
Toe Touch,11,,
Reverse Kick,5,,
Defender self out (lobby shirt pull),3,,
Leg Thrust,4,,
Side Kick,1,,
Running Kick,2,,
,,,
Defensive Skill,Unsuccessful Raids,,
Dive,55,,
Thigh Hold,48,,
Block,40,,
Push,30,,
Self-out,27,,
Ankle Hold,24,,
Body Hold,12,,
Chain_def,3,,