,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles
Defensive Skill,Bengal Warriors,Bengaluru Bull,Dabang Delhi,Gujarat Fortunegiant,Haryana Steelers,Jaipur Pink Panther,Patna Pirates,Puneri Paltan,Tamil Thailaiva,Telugu Titan,U Mumba,UP Yoddha
Thigh Hold,57,49,57,48,43,33,43,50,35,44,31,68
Block,51,42,42,30,49,23,46,51,52,43,66,37
Dive,42,49,50,73,27,80,46,31,35,72,56,43
Ankle Hold,8,34,33,17,40,42,27,43,15,15,13,54
Push,28,10,21,13,31,16,22,29,24,15,30,22
Body Hold,24,14,6,12,4,9,9,21,13,7,10,8
Self-out,7,3,6,1,4,2,2,2,4,2,6,5
Chain_def,3,5,2,9,16,6,3,9,2,3,7,8
Follow,3,,1,,0,,,,,3,,