team_id,team-total-points_team_name,team-raid_team_name,team-successful-raid-percent_team_name,team-average-raid-points_team_name,team-super-raid_team_name,team-avg-points-scored_team_name,team-successful-tackles-per-match_team_name,team-all-outs-conceded_team_name,team-successful-tackles_team_name,team-raid-points_team_name,team-all-outs-inflicted_team_name,team-successful-tackle-percent_team_name,team-total-points-conceded_team_name,team-successful-raids_team_name,team-average-tackle-points_team_name,team-tackle-points_team_name,team-super-tackles_team_name,team-dod-raid-points_team_name,team-total-points_match_played,team-raid_match_played,team-successful-raid-percent_match_played,team-average-raid-points_match_played,team-super-raid_match_played,team-avg-points-scored_match_played,team-successful-tackles-per-match_match_played,team-all-outs-conceded_match_played,team-successful-tackles_match_played,team-raid-points_match_played,team-all-outs-inflicted_match_played,team-successful-tackle-percent_match_played,team-total-points-conceded_match_played,team-successful-raids_match_played,team-average-tackle-points_match_played,team-tackle-points_match_played,team-super-tackles_match_played,team-dod-raid-points_match_played,team-total-points_rank,team-raid_rank,team-successful-raid-percent_rank,team-average-raid-points_rank,team-super-raid_rank,team-avg-points-scored_rank,team-successful-tackles-per-match_rank,team-all-outs-conceded_rank,team-successful-tackles_rank,team-raid-points_rank,team-all-outs-inflicted_rank,team-successful-tackle-percent_rank,team-total-points-conceded_rank,team-successful-raids_rank,team-average-tackle-points_rank,team-tackle-points_rank,team-super-tackles_rank,team-dod-raid-points_rank,team-total-points_value,team-raid_value,team-successful-raid-percent_value,team-average-raid-points_value,team-super-raid_value,team-avg-points-scored_value,team-successful-tackles-per-match_value,team-all-outs-conceded_value,team-successful-tackles_value,team-raid-points_value,team-all-outs-inflicted_value,team-successful-tackle-percent_value,team-total-points-conceded_value,team-successful-raids_value,team-average-tackle-points_value,team-tackle-points_value,team-super-tackles_value,team-dod-raid-points_value,team-total-points_points_per_match,team-raid_points_per_match,team-successful-raid-percent_points_per_match,team-average-raid-points_points_per_match,team-super-raid_points_per_match,team-avg-points-scored_points_per_match,team-successful-tackles-per-match_points_per_match,team-all-outs-conceded_points_per_match,team-successful-tackles_points_per_match,team-raid-points_points_per_match,team-all-outs-inflicted_points_per_match,team-successful-tackle-percent_points_per_match,team-total-points-conceded_points_per_match,team-successful-raids_points_per_match,team-average-tackle-points_points_per_match,team-tackle-points_points_per_match,team-super-tackles_points_per_match,team-dod-raid-points_points_per_match
1,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,3,1,1,4,1,3,4,2,1,3,2,2,1,3,2,2,12,903,992,43.65,22.29,12,37.63,9.79,30,235,535,34,41.37,835,433,10.88,261,26,38,37.625,41.333333333333336,1.81875,0.92875,0.5,1.5679166666666668,0.4079166666666666,1.25,9.791666666666666,22.291666666666668,1.4166666666666667,1.72375,34.791666666666664,18.041666666666668,0.4533333333333333,10.875,1.0833333333333333,1.5833333333333333
2,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,5,4,3,4,7,8,11,5,10,3,10,9,4,2,11,11,11,10,804,977,42.37,21.04,10,33.5,7.88,28,189,505,25,35.26,801,414,8.33,200,11,55,33.5,40.708333333333336,1.7654166666666666,0.8766666666666666,0.4166666666666667,1.3958333333333333,0.3283333333333333,1.1666666666666667,7.875,21.041666666666668,1.0416666666666667,1.4691666666666665,33.375,17.25,0.3470833333333333,8.333333333333334,0.4583333333333333,2.2916666666666665
3,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,6,10,2,5,9,5,5,9,7,6,7,11,12,4,8,8,12,3,756,894,42.62,20.5,9,34.36,9.05,26,199,451,26,34.79,742,381,9.5,209,10,85,34.36363636363637,40.63636363636363,1.9372727272727273,0.9318181818181818,0.4090909090909091,1.5618181818181818,0.4113636363636364,1.181818181818182,9.045454545454543,20.5,1.181818181818182,1.5813636363636363,33.72727272727273,17.318181818181817,0.4318181818181818,9.5,0.4545454545454545,3.863636363636364
4,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,7,11,4,2,2,6,12,10,12,4,5,12,7,7,12,12,10,6,754,892,39.57,21.68,17,34.27,7.55,25,166,477,27,34.02,772,353,8.09,178,12,73,34.27272727272727,40.54545454545455,1.7986363636363636,0.9854545454545456,0.7727272727272727,1.5577272727272728,0.3431818181818182,1.1363636363636365,7.545454545454546,21.681818181818183,1.2272727272727273,1.5463636363636366,35.09090909090909,16.045454545454547,0.3677272727272727,8.090909090909092,0.5454545454545454,3.3181818181818183
5,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,7,11,10,11,8,7,8,11,9,7,10,10,7,7,3,11,716,876,38.7,19.18,9,32.55,8.82,28,194,422,25,37.16,750,339,9.82,216,22,53,32.54545454545455,39.81818181818182,1.7590909090909093,0.8718181818181818,0.4090909090909091,1.4795454545454545,0.4009090909090909,1.2727272727272727,8.818181818181818,19.181818181818183,1.1363636363636365,1.689090909090909,34.09090909090909,15.409090909090908,0.4463636363636363,9.818181818181818,1.0,2.409090909090909
6,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,2,9,8,11,2,1,12,1,5,1,1,11,5,1,1,8,2,876,1014,37.48,19.54,9,36.5,11.33,19,272,469,38,46.1,746,380,12.04,289,17,90,36.5,42.25,1.5616666666666663,0.8141666666666666,0.375,1.5208333333333333,0.4720833333333333,0.7916666666666666,11.333333333333334,19.541666666666668,1.5833333333333333,1.9208333333333336,31.083333333333332,15.833333333333334,0.5016666666666666,12.041666666666666,0.7083333333333334,3.75
7,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4,5,6,9,8,4,2,3,3,7,4,5,5,6,2,3,4,1,814,945,39.05,19.52,10,35.39,10.04,32,231,449,33,38.82,792,369,11.0,253,22,102,35.391304347826086,41.08695652173913,1.6978260869565216,0.8486956521739131,0.4347826086956521,1.538695652173913,0.4365217391304347,1.391304347826087,10.043478260869565,19.52173913043478,1.434782608695652,1.6878260869565218,34.43478260869565,16.043478260869566,0.4782608695652174,11.0,0.9565217391304348,4.434782608695652
8,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,8,11,7,3,10,9,2,9,10,12,8,1,12,9,9,7,8,721,907,35.94,19.55,14,32.77,8.64,35,190,430,21,35.51,851,326,9.41,207,17,62,32.77272727272727,41.22727272727273,1.6336363636363636,0.8886363636363637,0.6363636363636364,1.4895454545454547,0.3927272727272727,1.5909090909090908,8.636363636363637,19.545454545454547,0.9545454545454546,1.614090909090909,38.68181818181818,14.818181818181818,0.4277272727272727,9.409090909090908,0.7727272727272727,2.8181818181818183
28,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,8,9,5,6,5,7,6,6,6,9,6,3,8,8,6,6,6,9,741,898,39.2,20.0,11,33.68,9.05,28,199,440,26,39.25,769,352,9.91,218,19,56,33.68181818181818,40.81818181818182,1.781818181818182,0.9090909090909092,0.5,1.530909090909091,0.4113636363636364,1.2727272727272727,9.045454545454543,20.0,1.181818181818182,1.7840909090909092,34.95454545454545,16.0,0.4504545454545454,9.909090909090908,0.8636363636363636,2.5454545454545454
29,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,7,12,12,12,9,4,1,5,12,8,4,6,11,4,5,9,4,734,919,35.58,18.95,8,33.36,9.64,36,212,417,25,38.83,776,327,10.32,227,15,83,33.36363636363637,41.77272727272727,1.6172727272727272,0.8613636363636363,0.3636363636363636,1.5163636363636364,0.4381818181818182,1.6363636363636365,9.636363636363637,18.954545454545453,1.1363636363636365,1.765,35.27272727272727,14.863636363636363,0.4690909090909091,10.318181818181818,0.6818181818181818,3.772727272727273
30,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,1,8,3,1,3,7,11,4,2,2,6,3,3,5,4,1,5,865,1015,38.62,21.46,22,36.04,8.96,24,215,515,35,37.85,832,392,10.08,242,27,78,36.041666666666664,42.291666666666664,1.6091666666666666,0.8941666666666667,0.9166666666666666,1.5016666666666667,0.3733333333333333,1.0,8.958333333333334,21.458333333333332,1.4583333333333333,1.5770833333333334,34.666666666666664,16.333333333333332,0.42,10.083333333333334,1.125,3.25
31,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,9,6,10,10,6,12,10,8,11,8,11,10,9,9,10,10,5,7,737,941,36.98,19.3,11,32.04,8.04,27,185,444,23,34.97,755,348,9.0,207,22,68,32.04347826086956,40.91304347826087,1.6078260869565215,0.8391304347826087,0.4782608695652174,1.3930434782608696,0.3495652173913043,1.173913043478261,8.043478260869565,19.304347826086957,1.0,1.5204347826086957,32.82608695652174,15.130434782608695,0.391304347826087,9.0,0.9565217391304348,2.9565217391304346
