,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,win_by_coin_toss,extra_time,golden_raid,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type
102,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-22 20:30+05:30,Bengal Warriors Won by 1 Pts,2019-09-22 20:30+05:30,Match Completed,1,4,kabaddi,"Sawai Man Singh Indoor Stadium, Jaipur",1787,League,Match 103,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Jaipur Pink Panthers,40,false,Bengal Warriors,41,true,Bengal Warriors,Vishal ,3159,2,defender,Sandeep Dhull,290,2,Defender,Deepak Hooda,41,10,all-rounder,Lokesh Kaushik,599,0, ,Sunil Siddhgavali,613,0,defender,Baldev Singh,621,3,Defender - Right Corner,Mohammad Nabibakhsh,3176,2,All Rounder,Jeeva Kumar,54,1,Defender,,False,False,Sukesh Hegde,111,0,Raider,Maninder Singh,143,19,raider
103,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-23 19:30+05:30,Haryana Steelers Won by 5 Pts,2019-09-23 19:30+05:30,Match Completed,5,4,kabaddi,"Sawai Man Singh Indoor Stadium, Jaipur",1788,League,Match 104,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Patna Pirates,34,false,Haryana Steelers,39,true,Haryana Steelers,Jang Lee,12,7,Raider,Neeraj Kumar,3107,3,Defender,Hadi Oshtorak,249,1,All Rounder,Jaideep ,579,2,Defender,Pardeep Narwal,197,17,Raider,Vinay ,3054,3,Raider,Vikash Khandola,366,13,raider,,,,,,False,False,,,,,,,,
104,"Pro Kabaddi League Season 7, 2019",Tied,11,2019-09-23 20:30+05:30,,2019-09-23 20:30+05:30,Match Completed,,4,kabaddi,"Sawai Man Singh Indoor Stadium, Jaipur",1789,League,Match 105,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Dabang Delhi K.C.,39,false,Bengaluru Bulls,39,false,Unknown,Vijay ,3081,1,all-rounder,Joginder Narwal,194,2,Defender,Ravinder Pahal,157,4,Defender,Chandran Ranjit,36,5,Raider,,,,,Banty ,3029,4,Raider,Ajay ,3096,2, ,Sumit Singh,3104,2,raider,,False,False,Amit Sheoran,3115,6,Defender,Pawan Kumar,318,17,raider
105,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-25 19:30+05:30,Bengal Warriors Won by 1 Pts,2019-09-25 19:30+05:30,Match Completed,1,4,kabaddi,"Sawai Man Singh Indoor Stadium, Jaipur",1790,League,Match 106,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Telugu Titans,39,false,Bengal Warriors,40,true,Bengal Warriors,Rakesh Gowda,3046,5,Raider,Rajnish ,2290,6,Raider,Farhad Milaghardan,482,3,Defender,Vishal Bharadwaj,3083,1,defender,Siddharth Desai,2026,15,Raider,Jeeva Kumar,54,2,Defender,Sukesh Hegde,111,5,Raider,Maninder Singh,143,17,raider,,False,False,,,,,,,,
106,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-25 20:30+05:30,Jaipur Pink Panthers Won by 9 Pts,2019-09-25 20:30+05:30,Match Completed,9,4,kabaddi,"Sawai Man Singh Indoor Stadium, Jaipur",1791,League,Match 107,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Jaipur Pink Panthers,43,true,Puneri Paltan,34,false,Jaipur Pink Panthers,Deepak Narwal,211,11,Raider,Amit Hooda,212,4,Defender,Nilesh Salunke,293,7,Defender,,,,,,,,,Manjeet ,763,8,raider,Surjeet Singh,322,0,Defender,Girish Maruti Ernak,161,2,Defender,,False,False,Nitin Tomar,320,1,raider,Sushant Sail,3235,0,Raider
107,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-26 19:30+05:30,Dabang Delhi K.C. Won by 4 Pts,2019-09-26 19:30+05:30,Match Completed,4,4,kabaddi,"Sawai Man Singh Indoor Stadium, Jaipur",1792,League,Match 108,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Patna Pirates,39,false,Dabang Delhi K.C.,43,true,Dabang Delhi K.C.,Jang Lee,12,7,Raider,Neeraj Kumar,3107,1,Defender,Hadi Oshtorak,249,1,All Rounder,Jawahar Dagar,390,1, ,Monu ,3082,0,Raider,Vijay ,3081,13,all-rounder,Sombir ,3000,1,Defender,Anil Kumar,311,4, ,,False,False,Joginder Narwal,194,1,Defender,Vishal Mane,123,0,Defender
108,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-27 19:30+05:30,Bengaluru Bulls Won by 2 Pts,2019-09-27 19:30+05:30,Match Completed,2,4,kabaddi,"Sawai Man Singh Indoor Stadium, Jaipur",1793,League,Match 109,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U Mumba,33,false,Bengaluru Bulls,35,true,Bengaluru Bulls,Fazel Atrachali,259,2,defender,Surinder Singh,3086,3,Defender,Athul M S,376,9,Raider,Abhishek Singh,2028,10,Raider,Sandeep Narwal,142,4,all-rounder,Banty ,3029,6,Raider,Ajay ,3096,0, ,Ankit ,3099,0,Defender,,False,False,Amit Sheoran,3115,3,Defender,Pawan Kumar,318,11,raider
109,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-27 20:30+05:30,Telugu Titans Won by 20 Pts,2019-09-27 20:30+05:30,Match Completed,20,4,kabaddi,"Sawai Man Singh Indoor Stadium, Jaipur",1794,League,Match 110,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Jaipur Pink Panthers,31,false,Telugu Titans,51,true,Telugu Titans,Vishal ,3159,3,defender,Sandeep Dhull,290,2,Defender,Deepak Narwal,211,4,Raider,Sachin Narwal,3154,0,All Rounder,Amit Hooda,212,2,Defender,Rajnish ,2290,11,Raider,Farhad Milaghardan,482,4,Defender,Vishal Bharadwaj,3083,2,defender,,False,False,Siddharth Desai,2026,22,Raider,Abozar Mighani,489,1,Defender
110,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-28 19:30+05:30,U.P. Yoddha Won by 7 Pts,2019-09-28 19:30+05:30,Match Completed,7,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1795,League,Match 111,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Haryana Steelers,30,false,U.P. Yoddha,37,true,U.P. Yoddha,Prashanth Rai,155,3,raider,Dharmaraj Cheralathan,42,2,Defender,Vikas kale,179,2,Defender,Ravi Kumar,240,5,Defender,Vinay ,3054,8,Raider,Rishank Devadiga,94,1,Raider,Sumit ,3240,3,Defender,Surender Gill,3241,7,Raider,,False,False,Amit ,3126,1,defender,Shrikant Jadhav,106,11,raider
111,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-28 20:30+05:30,Gujarat Giants Won by 29 Pts,2019-09-28 20:30+05:30,Match Completed,29,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1796,League,Match 112,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Gujarat Giants,50,true,Tamil Thalaivas,21,false,Gujarat Giants,Vinod Kumar,764,3,Raider,Pankaj ,3089,4,All Rounder,Parvesh Bhainswal,357,5,defender,Ruturaj Koravi,2023,3,Defender,Amit ,3001,1,Defender,V Ajith Kumar,3053,2,Raider,Himanshu ,3161,3,Defender,,,,,,False,False,,,,,,,,
112,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-29 19:30+05:30,Dabang Delhi K.C. Won by 20 Pts,2019-09-29 19:30+05:30,Match Completed,20,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1797,League,Match 113,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Puneri Paltan,40,false,Dabang Delhi K.C.,60,true,Dabang Delhi K.C.,Emad Sedaghatnia,3179,7,Raider,Jadhav Shahaji,3011,6,Defender,Girish Maruti Ernak,161,1,Defender,Nitin Tomar,320,7,raider,Sushant Sail,3235,4,Raider,Ravinder Pahal,157,6,Defender,,,,,,,,,,False,False,,,,,,,,
113,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-29 20:30+05:30,Haryana Steelers Won by 1 Pts,2019-09-29 20:30+05:30,Match Completed,1,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1798,League,Match 114,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Haryana Steelers,38,true,Gujarat Giants,37,false,Haryana Steelers,Chand Singh,3221,1,Defender,Prashanth Rai,155,9,raider,Sunil ,3106,4,Defender - Right Corner,Vikas kale,179,1,Defender,Ravi Kumar,240,1,Defender,Sonu GFG,3128,8,Raider,More G B,772,4,Raider,Pankaj ,3089,1,All Rounder,,False,False,Parvesh Bhainswal,357,3,defender,Ruturaj Koravi,2023,2,Defender
114,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-30 19:30+05:30,Bengal Warriors Won by 9 Pts,2019-09-30 19:30+05:30,Match Completed,9,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1799,League,Match 115,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Bengal Warriors,42,true,Dabang Delhi K.C.,33,false,Bengal Warriors,Baldev Singh,621,3,Defender - Right Corner,Mohammad Nabibakhsh,3176,5,All Rounder,Sukesh Hegde,111,7,Raider,Mayur Shivtarkar,3045,2,All Rounder,Rinku Narwal,3084,2,Defender,Vijay ,3081,2,all-rounder,Anil Kumar,311,3, ,Joginder Narwal,194,1,Defender,,False,False,Naveen Kumar,2296,15,Raider,Vishal Mane,123,0,Defender
115,"Pro Kabaddi League Season 7, 2019",W,11,2019-09-30 20:30+05:30,U Mumba Won by 4 Pts,2019-09-30 20:30+05:30,Match Completed,4,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1800,League,Match 116,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Tamil Thalaivas,32,false,U Mumba,36,true,U Mumba,Rahul Chaudhari,81,1,Raider,V Ajith Kumar,3053,16,Raider,Ran Singh,160,2,All Rounder,Sagar ,3236,3,Defender,M. Abishek ,3014,3,Defender,,,,,,,,,,,,,,False,False,,,,,,,,
116,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-02 19:30+05:30,U Mumba Won by 4 Pts,2019-10-02 19:30+05:30,Match Completed,4,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1801,League,Match 117,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U Mumba,30,true,Patna Pirates,26,false,U Mumba,Fazel Atrachali,259,4,defender,Surinder Singh,3086,1,Defender,Rohit Baliyan,261,5,Raider,Harendra Kumar,3138,0,Defender,,,,,Vikash Jaglan,121,1,all-rounder,Neeraj Kumar,3107,0,Defender,Hadi Oshtorak,249,4,All Rounder,,False,False,Jaideep ,579,1,Defender,Purna Singh,3075,0, 
117,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-02 20:30+05:30,Bengaluru Bulls Won by 23 Pts,2019-10-02 20:30+05:30,Match Completed,23,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1802,League,Match 118,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Haryana Steelers,36,false,Bengaluru Bulls,59,true,Bengaluru Bulls,Prashanth Rai,155,17,raider,Kuldeep Singh (732),732,0,All Rounder,Vikash Khandola,366,6,raider,,,,,,,,,Mahender Singh,769,4,Defender,Banty ,3029,0,Raider,Sumit Singh,3104,1,raider,,False,False,Ankit ,3099,1,Defender,Amit Sheoran,3115,2,Defender
118,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-03 20:30+05:30,Puneri Paltan Won by 3 Pts,2019-10-03 20:30+05:30,Match Completed,3,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1803,League,Match 119,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Telugu Titans,50,false,Puneri Paltan,53,true,Puneri Paltan,Rakesh Gowda,3046,17,Raider,Akash Choudhary,3004,2,Defender,Rajnish ,2290,2,Raider,Farhad Milaghardan,482,10,Defender,Aakash Arsul,3237,5,Defender,Jadhav Shahaji,3011,1,Defender,Girish Maruti Ernak,161,1,Defender,Nitin Tomar,320,5,raider,,False,False,,,,,,,,
119,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-04 19:30+05:30,Jaipur Pink Panthers Won by 7 Pts,2019-10-04 19:30+05:30,Match Completed,7,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1804,League,Match 120,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Jaipur Pink Panthers,41,true,Bengaluru Bulls,34,false,Jaipur Pink Panthers,Pavan TR,3021,0,Defender,Vishal ,3159,5,defender,Sandeep Dhull,290,4,Defender,Deepak Narwal,211,16,Raider,Amit Hooda,212,3,Defender,,,,,,,,,,,,,,False,False,,,,,,,,
120,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-04 20:30+05:30,Haryana Steelers Won by 20 Pts,2019-10-04 20:30+05:30,Match Completed,20,1025,kabaddi,"Tau Devilal Sports Complex, Panchkula",1805,League,Match 121,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Haryana Steelers,52,true,Telugu Titans,32,false,Haryana Steelers,Chand Singh,3221,0,Defender,Vikas kale,179,0,Defender,Ravi Kumar,240,7,Defender,Vikash Khandola,366,13,raider,,,,,Rakesh Gowda,3046,4,Raider,Akash Choudhary,3004,3,Defender,Farhad Milaghardan,482,10,Defender,,False,False,Siddharth Desai,2026,12,Raider,Krushna Madane,274,1,Defender
121,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-05 19:30+05:30,U.P. Yoddha Won by 17 Pts,2019-10-05 19:30+05:30,Match Completed,17,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1806,League,Match 122,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U.P. Yoddha,50,true,Dabang Delhi K.C.,33,false,U.P. Yoddha,Nitesh Kumar,3088,6,Defender,Surender Singh,234,4,Defender,Mohsen Maghsoudlou,567,1,all-rounder,Sumit ,3240,5,Defender,Amit ,3126,1,defender,Neeraj Narwal,3038,11,Raider,Mohit ,3223,0,Defender,Satywan ,3169,0,Defender,,False,False,,,,,,,,
122,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-05 20:30+05:30,Patna Pirates Won by 6 Pts,2019-10-05 20:30+05:30,Match Completed,6,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1807,League,Match 123,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Gujarat Giants,33,false,Patna Pirates,39,true,Patna Pirates,Pankaj ,3089,1,All Rounder,Parvesh Bhainswal,357,3,defender,Rohit Gulia,3023,6,All Rounder,Ruturaj Koravi,2023,2,Defender,Amit ,3001,0,Defender,Jang Lee,12,2,Raider,Neeraj Kumar,3107,3,Defender,Hadi Oshtorak,249,1,All Rounder,,False,False,Mohammad Mahalli,3175,5,Raider,Jaideep ,579,2,Defender
123,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-06 19:30+05:30,Patna Pirates Won by 28 Pts,2019-10-06 19:30+05:30,Match Completed,28,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1808,League,Match 124,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Bengal Warriors,41,false,Patna Pirates,69,true,Patna Pirates,Baldev Singh,621,2,Defender - Right Corner,Mohammad Taghi Paein Mahali ,3177,6,raider,Adarsh T,3095,3,Defender - Left Corner,Sourabh Patil,3156,11,All Rounder,Viraj Vishnu Landge,784,1,Defender,Vikash Jaglan,121,4,all-rounder,Jang Lee,12,8,Raider,Neeraj Kumar,3107,5,Defender,,False,False,Hadi Oshtorak,249,0,All Rounder,Mohammad Mahalli,3175,4,Raider
124,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-06 20:30+05:30,U.P. Yoddha Won by 4 Pts,2019-10-06 20:30+05:30,Match Completed,4,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1809,League,Match 125,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U.P. Yoddha,43,true,Puneri Paltan,39,false,U.P. Yoddha,Nitesh Kumar,3088,6,Defender,Rishank Devadiga,94,7,Raider,Ankush ,3027,3,Raider,Sachin Kumar,218,5,Defender,Gurdeep ,2041,2,All Rounder,Sagar B Krishna,347,2,All Rounder,Manjeet ,763,8,raider,Nitin Tomar,320,8,raider,,False,False,Amit Kumar,3110,7, ,,,,
125,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-07 19:30+05:30,Gujarat Giants Won by 10 Pts,2019-10-07 19:30+05:30,Match Completed,10,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1810,League,Match 126,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Telugu Titans,38,false,Gujarat Giants,48,true,Gujarat Giants,Rakesh Gowda,3046,6,Raider,Akash Choudhary,3004,3,Defender,Farhad Milaghardan,482,2,Defender,Siddharth Desai,2026,13,Raider,Aakash Arsul,3237,2,Defender,Pankaj ,3089,5,All Rounder,Rohit Gulia,3023,9,All Rounder,Amit ,3001,0,Defender,,False,False,Sonu GFG,3128,17,Raider,More G B,772,7,Raider
126,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-07 20:30+05:30,Tamil Thalaivas Won by 2 Pts,2019-10-07 20:30+05:30,Match Completed,2,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1811,League,Match 127,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Tamil Thalaivas,35,true,Jaipur Pink Panthers,33,false,Tamil Thalaivas,Rahul Chaudhari,81,5,Raider,Himanshu ,3161,3,Defender,Ran Singh,160,4,All Rounder,Sagar ,3236,4,Defender,M. Abishek ,3014,1,Defender,Vishal ,3159,1,defender,Amit Hooda,212,6,Defender,Guman Singh,3032,3,Raider,,False,False,,,,,,,,
127,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-09 19:30+05:30,Bengal Warriors Won by 4 Pts,2019-10-09 19:30+05:30,Match Completed,4,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1812,League,Match 128,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Bengal Warriors,33,true,Tamil Thalaivas,29,false,Bengal Warriors,Baldev Singh,621,2,Defender - Right Corner,Mohammad Nabibakhsh,3176,7,All Rounder,Jeeva Kumar,54,0,Defender,Sukesh Hegde,111,6,Raider,Rinku Narwal,3084,5,Defender,Sagar ,3236,5,Defender,V Ajith Kumar,3053,4,Raider,Ran Singh,160,3,All Rounder,,False,False,,,,,,,,
128,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-09 20:30+05:30,Telugu Titans Won by 5 Pts,2019-10-09 20:30+05:30,Match Completed,5,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1813,League,Match 129,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U.P. Yoddha,36,false,Telugu Titans,41,true,Telugu Titans,Rishank Devadiga,94,8,Raider,Sumit ,3240,5,Defender,Amit ,3126,1,defender,Gurdeep ,2041,0,All Rounder,,,,,Rakesh Gowda,3046,3,Raider,Akash Choudhary,3004,0,Defender,Farhad Milaghardan,482,4,Defender,,False,False,Siddharth Desai,2026,15,Raider,Krushna Madane,274,4,Defender
129,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-10 19:30+05:30,U Mumba Won by 6 Pts,2019-10-10 19:30+05:30,Match Completed,6,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1814,League,Match 130,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U Mumba,39,true,Haryana Steelers,33,false,U Mumba,Fazel Atrachali,259,8,defender,Surinder Singh,3086,0,Defender,Ajinkya Kapre,2025,10,All Rounder,Sandeep Narwal,142,5,all-rounder,Navneet ,3238,2,Raider,Chand Singh,3221,0,Defender,Sunil ,3106,4,Defender - Right Corner,Parveen ,3100,0,Defender - Left Cover,,False,False,Naveen ,2357,4,Raider,,,,
130,"Pro Kabaddi League Season 7, 2019",Tied,11,2019-10-11 19:30+05:30,,2019-10-11 19:30+05:30,Match Completed,,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1815,League,Match 131,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Dabang Delhi K.C.,37,false,U Mumba,37,false,Unknown,Vijay ,3081,5,all-rounder,Anil Kumar,311,3, ,Naveen Kumar,2296,12,Raider,Vishal Mane,123,2,Defender,,,,,Fazel Atrachali,259,6,defender,Arjun Deshwal,2024,9,Raider,Surinder Singh,3086,2,Defender,,False,False,Abhishek Singh,2028,10,Raider,Ajinkya Kapre,2025,0,All Rounder
131,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-11 20:30+05:30,U.P. Yoddha Won by 12 Pts,2019-10-11 20:30+05:30,Match Completed,12,1022,kabaddi,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",1816,League,Match 132,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U.P. Yoddha,45,true,Bengaluru Bulls,33,false,U.P. Yoddha,Nitesh Kumar,3088,4,Defender,Rishank Devadiga,94,4,Raider,Sumit ,3240,2,Defender,Surender Gill,3241,9,Raider,Amit ,3126,1,defender,Mahender Singh,769,4,Defender,Ankit ,3099,1,Defender,Amit Sheoran,3115,2,Defender,,False,False,Saurabh Nandal,3228,2,Defender,,,,
132,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-14 19:30+05:30,Bengaluru Bulls Won by 3 Pts,2019-10-14 19:30+05:30,Match Completed,3,1023,kabaddi,"The Arena by TransStadia, Ahmedabad",1817,Playoffs,Match 133,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U.P. Yoddha,45,false,Bengaluru Bulls,48,true,Bengaluru Bulls,Nitesh Kumar,3088,5,Defender,Rishank Devadiga,94,11,Raider,Sumit ,3240,5,Defender,Surender Gill,3241,5,Raider,Amit ,3126,1,defender,Sumit Singh,3104,7,raider,Ankit ,3099,0,Defender,Rohit Kumar,326,3,raider,,False,False,Amit Sheoran,3115,2,Defender,Pawan Kumar,318,20,raider
133,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-14 20:30+05:30,U Mumba Won by 8 Pts,2019-10-14 20:30+05:30,Match Completed,8,1023,kabaddi,"The Arena by TransStadia, Ahmedabad",1818,Playoffs,Match 134,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U Mumba,46,true,Haryana Steelers,38,false,U Mumba,Fazel Atrachali,259,3,defender,Arjun Deshwal,2024,15,Raider,Surinder Singh,3086,2,Defender,Sandeep Narwal,142,2,all-rounder,Young Chang Ko,519,1,Defender,Chand Singh,3221,2,Defender,Prashanth Rai,155,9,raider,Vikas kale,179,1,Defender,,False,False,Ravi Kumar,240,0,Defender,,,,
134,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-16 19:30+05:30,Dabang Delhi K.C. Won by 6 Pts,2019-10-16 19:30+05:30,Match Completed,6,1023,kabaddi,"The Arena by TransStadia, Ahmedabad",1819,Semi Final,Match 135,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Dabang Delhi K.C.,44,true,Bengaluru Bulls,38,false,Dabang Delhi K.C.,Vijay ,3081,3,all-rounder,Anil Kumar,311,4, ,Joginder Narwal,194,3,Defender,Naveen Kumar,2296,15,Raider,Vishal Mane,123,1,Defender,Mahender Singh,769,2,Defender,Sumit Singh,3104,6,raider,Amit Sheoran,3115,0,Defender,,False,False,Saurabh Nandal,3228,2,Defender,Sandeep ,299,1,Defender
135,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-16 20:30+05:30,Bengal Warriors Won by 2 Pts,2019-10-16 20:30+05:30,Match Completed,2,1023,kabaddi,"The Arena by TransStadia, Ahmedabad",1820,Semi Final,Match 136,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Bengal Warriors,37,true,U Mumba,35,false,Bengal Warriors,Baldev Singh,621,2,Defender - Right Corner,Mohammad Nabibakhsh,3176,5,All Rounder,Jeeva Kumar,54,3,Defender,Sukesh Hegde,111,8,Raider,K.Prapanjan ,219,4,raider,Fazel Atrachali,259,1,defender,Surinder Singh,3086,4,Defender,Ajinkya Kapre,2025,5,All Rounder,,False,False,Sandeep Narwal,142,5,all-rounder,Young Chang Ko,519,0,Defender
136,"Pro Kabaddi League Season 7, 2019",W,11,2019-10-19 19:30+05:30,Bengal Warriors Won by 5 Pts,2019-10-19 19:30+05:30,Match Completed,5,1023,kabaddi,"The Arena by TransStadia, Ahmedabad",1821,Final,Match 137,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Dabang Delhi K.C.,34,false,Bengal Warriors,39,true,Bengal Warriors,Vijay ,3081,3,all-rounder,Anil Kumar,311,3, ,Joginder Narwal,194,0,Defender,Naveen Kumar,2296,18,Raider,Vishal Mane,123,1,Defender,Baldev Singh,621,2,Defender - Right Corner,Mohammad Nabibakhsh,3176,10,All Rounder,Jeeva Kumar,54,4,Defender,,False,False,Sukesh Hegde,111,8,Raider,Ravindra Kumavat,3094,6,raider
